Sample;W/G Name;Generation;Generation_combinedF0;Original name;Date extraction;Body part;Control;Condition;Fragmented;Storage;WNV;USUV;Water%;Comment_water;Food_larvae;Bloodmeal;WTA conc;Antibiotic;Origin;Taxonomy;Experiment
Antib15;;;;NC1;;;yes;;;;;;;;;;;;;;Antibiotics
Antib16;;;;NC2;;;yes;;;;;;;;;;;;;;Antibiotics
Antib17;;;;NC3;;;yes;;;;;;;;;;;;;;Antibiotics
Bact1;;;;Cx-L 1;;;no;;;;;;;;;;;;Lab;Culex;Bacteriome
Bact2;;;;Cx-L 2;;;no;;;;;;;;;;;;Lab;Culex;Bacteriome
Bact3;;;;Cx-L 3;;;no;;;;;;;;;;;;Lab;Culex;Bacteriome
Bact4;;;;Cx-Wt 1;;;no;;;;;;;;;;;;Wildtype;Culex;Bacteriome
Bact5;;;;Cx-Wt 2;;;no;;;;;;;;;;;;Wildtype;Culex;Bacteriome
Bact6;;;;Cx-Wt 3;;;no;;;;;;;;;;;;Wildtype;Culex;Bacteriome
Bact7;;;;Ae-L 1;;;no;;;;;;;;;;;;Lab;Aedes;Bacteriome
Bact8;;;;Ae-L 2;;;no;;;;;;;;;;;;Lab;Aedes;Bacteriome
Bact9;;;;Ae-L 3;;;no;;;;;;;;;;;;Lab;Aedes;Bacteriome
Bact10;;;;Ae-Wt 1;;;no;;;;;;;;;;;;Wildtype;Aedes;Bacteriome
Bact11;;;;Ae-Wt 2;;;no;;;;;;;;;;;;Wildtype;Aedes;Bacteriome
Bact12;;;;Ae-Wt 3;;;no;;;;;;;;;;;;Wildtype;Aedes;Bacteriome
Bact13;;;;NC 1;;;yes;;;;;;;;;;;;;;
Bact14;;;;NC 2;;;yes;;;;;;;;;;;;;;
Bact15;;;;NC 3;;;yes;;;;;;;;;;;;;;
BactNIC;;;;NIC;;;yes;;;;;;;;;;;;;;
